kernel;acc;iter
:parameterupdate;0;483
rmmala_pos;1;484
:parameterupdate;1;484
rmmala_pos;0;485
:parameterupdate;0;485
rmmala_pos;0;486
:parameterupdate;1;486
rmmala_pos;0;487
:parameterupdate;0;487
rmmala_pos;1;488
:parameterupdate;1;488
rmmala_pos;1;489
:parameterupdate;1;489
rmmala_pos;1;490
:parameterupdate;0;490
rmmala_pos;1;491
:parameterupdate;0;491
rmmala_pos;1;492
:parameterupdate;0;492
rmmala_pos;0;493
:parameterupdate;1;493
rmmala_pos;1;494
:parameterupdate;1;494
rmmala_pos;1;495
:parameterupdate;1;495
rmmala_pos;0;496
:parameterupdate;0;496
rmmala_pos;0;497
:parameterupdate;1;497
rmmala_pos;1;498
:parameterupdate;0;498
rmmala_pos;1;499
:parameterupdate;1;499
rmmala_pos;1;500
:parameterupdate;0;500
rmmala_pos;1;501
:parameterupdate;1;501
rmmala_pos;0;502
:parameterupdate;1;502
rmmala_pos;1;503
:parameterupdate;0;503
rmmala_pos;1;504
:parameterupdate;1;504
rmmala_pos;1;505
:parameterupdate;0;505
rmmala_pos;1;506
:parameterupdate;0;506
rmmala_pos;1;507
:parameterupdate;1;507
rmmala_pos;0;508
:parameterupdate;0;508
rmmala_pos;0;509
:parameterupdate;0;509
rmmala_pos;0;510
:parameterupdate;1;510
rmmala_pos;1;511
:parameterupdate;0;511
rmmala_pos;1;512
:parameterupdate;0;512
rmmala_pos;0;513
:parameterupdate;0;513
rmmala_pos;1;514
:parameterupdate;0;514
rmmala_pos;1;515
:parameterupdate;0;515
rmmala_pos;1;516
:parameterupdate;1;516
rmmala_pos;1;517
:parameterupdate;0;517
rmmala_pos;0;518
:parameterupdate;1;518
rmmala_pos;1;519
:parameterupdate;0;519
rmmala_pos;0;520
:parameterupdate;1;520
rmmala_pos;1;521
:parameterupdate;1;521
rmmala_pos;0;522
:parameterupdate;0;522
rmmala_pos;0;523
:parameterupdate;1;523
rmmala_pos;1;524
:parameterupdate;0;524
rmmala_pos;0;525
:parameterupdate;1;525
rmmala_pos;1;526
:parameterupdate;0;526
rmmala_pos;1;527
